Trading Code,OpenP,High,Low,LTP,Deviation%
GOLDENSON,19.4,21.0,19.0,21.0,8.2474
TRUSTBANK,26.7,29.2,26.7,28.8,7.8652
PARAMOUNT,56.6,61.4,56.6,61.0,7.7739
GQBALLPEN,128.2,140.0,128.2,137.4,7.1763
CENTRALPHL,27.1,29.4,27.1,28.8,6.2731
ARAMIT,229.5,241.1,229.5,241.1,5.0545
LOVELLO,47.1,49.6,47.0,49.3,4.6709
KTL,18.4,19.5,18.4,19.2,4.3478
MIRAKHTER,44.2,47.0,44.2,45.9,3.8462
SEMLLECMF,7.8,8.3,7.6,8.1,3.8462
