Trading Code,CloseP,High,Low,YCP,%Change
TB2Y0324,0.0,0.0,0.0,99.92,-100.0
AAMRANET,40.6,42.2,40.6,45.9,-11.5468
ACTIVEFINE,15.8,17.3,15.6,17.1,-7.6023
UNILEVERCL,2052.2,2100.1,2000.1,2219.0,-7.5169
EBL1STMF,5.4,5.7,5.3,5.8,-6.8966
NURANI,5.0,5.7,5.0,5.3,-5.6604
AFCAGRO,16.8,18.4,16.5,17.7,-5.0847
APSCLBOND,3796.5,3796.5,3796.5,3996.0,-4.9925
INTECH,28.8,31.0,28.5,30.2,-4.6358
SUNLIFEINS,55.7,58.6,55.3,58.3,-4.4597
